focus_node,depth,reference_chain,alternate_reference_chains,leaf_path,component,value,message,kind,repair_hint
ex:p084,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p084.
ex:p016,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p016.
ex:p085,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p085.
ex:p050,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p050.
ex:p022,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p022.
ex:p049,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p049.
ex:p054,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p054.
ex:p044,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p044.
ex:p019,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p019.
ex:p009,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p009.
ex:p004,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p004.
ex:p099,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p099.
ex:p001,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p001.
ex:p055,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p055.
ex:p096,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p096.
ex:p008,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p008.
ex:p014,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p014.
ex:p073,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p073.
ex:p023,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p023.
ex:p068,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p068.
ex:p075,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p075.
ex:p065,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p065.
ex:p047,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p047.
ex:p038,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p038.
ex:p026,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p026.
ex:p059,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p059.
ex:p062,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p062.
ex:p006,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p006.
ex:p046,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p046.
ex:p078,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p078.
ex:p069,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p069.
ex:p100,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p100.
ex:p040,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p040.
ex:p091,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p091.
ex:p021,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p021.
ex:p036,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p036.
ex:p027,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p027.
ex:p039,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p039.
ex:p089,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p089.
ex:p057,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p057.
ex:p077,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p077.
ex:p024,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p024.
ex:p053,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p053.
